Day,BOLETOS,month,day_name,day_type,day_tipo,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,weekday,weekend,HDAY,LDAY,NDAY,RDAY,BV,WB,FX,SO,UN,PT,MHM,LMM,MHH,LML,HLL,MML,NML,HHL,MMM,NMM,LHM,HML,MHL,NHM,HHM,NHL,LHL,NLL,HMM,NLM,HMH
2016-03-13,2.549024297,March,Sunday,weekend,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,1,8,5,2,5,6,3,0,2,0,1,7,0,1,1,3,0,0,0,1,0,0,0,0,0,0
2016-03-14,0.568672704,March,Monday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,1,8,5,2,5,6,3,0,2,0,1,7,0,1,1,3,0,0,0,1,0,0,0,0,0,0
2016-03-15,0.7310655340000001,March,Tuesday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,1,8,5,2,5,6,3,0,2,0,1,7,0,1,1,3,0,0,0,1,0,0,0,0,0,0
2016-03-16,1.000949343,March,Wednesday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,1,8,6,2,5,6,3,0,2,0,1,7,0,1,2,3,0,0,0,1,0,0,0,0,0,0
2016-03-17,0.857006092,March,Thursday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,1,8,6,2,5,6,3,0,2,0,1,7,0,1,2,3,0,0,0,1,0,0,0,0,0,0
2016-03-18,1.108257653,March,Friday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,1,8,6,2,5,6,3,0,2,0,1,7,0,1,2,3,0,0,0,1,0,0,0,0,0,0
2016-03-19,1.690296859,March,Saturday,weekend,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,1,6,5,2,5,5,3,0,2,0,1,5,0,1,2,3,0,0,0,1,0,0,0,0,0,0
2016-03-20,2.47450509,March,Sunday,weekend,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,1,6,5,2,5,5,3,0,2,0,1,5,0,1,2,3,0,0,0,1,0,0,0,0,0,0
2016-03-21,1.6277000730000002,March,Monday,weekday,RDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,1,6,5,2,5,5,3,0,2,0,1,5,0,1,2,3,0,0,0,1,0,0,0,0,0,0
2016-03-22,1.101534778,March,Tuesday,weekday,HDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,1,6,5,2,5,5,3,0,2,0,1,5,0,1,2,3,0,0,0,1,0,0,0,0,0,0
2016-03-23,2.199235805,March,Wednesday,weekday,HDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,1,6,5,2,5,5,3,0,2,0,1,5,0,1,2,3,0,0,0,1,0,0,0,0,0,0
2016-03-24,3.50044978,March,Thursday,weekday,HDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,1,6,5,2,5,5,3,0,2,0,1,5,0,1,2,3,0,0,0,1,0,0,0,0,0,0
2016-03-25,3.374417887,March,Friday,weekday,HDAY,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4,2,6,5,3,5,5,3,0,3,0,1,5,0,1,2,3,0,1,0,1,0,0,0,0,0,0
2016-03-26,3.126072722,March,Saturday,weekend,HDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,2,6,5,3,5,5,3,0,3,0,1,5,0,1,2,3,0,1,0,1,0,0,0,0,0,0
2016-03-27,3.190140647,March,Sunday,weekend,HDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,2,6,5,3,5,5,3,0,3,0,1,5,0,1,2,3,0,1,0,1,0,0,0,0,0,0
2016-03-28,1.293696147,March,Monday,weekday,HDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4,2,6,5,3,5,5,3,0,3,0,1,5,0,1,2,3,0,1,0,1,0,0,0,0,0,0
2016-03-29,1.5285955619999998,March,Tuesday,weekday,HDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,2,6,5,3,5,5,3,0,3,0,1,5,0,1,2,3,0,1,0,1,0,0,0,0,0,0
2016-03-30,2.208180067,March,Wednesday,weekday,HDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,2,6,5,3,5,5,3,0,3,0,1,5,0,1,2,3,0,1,0,1,0,0,0,0,0,0
2016-03-31,1.3497951330000002,March,Thursday,weekday,HDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,2,6,5,3,5,5,3,0,3,0,1,5,0,1,2,3,0,1,0,1,0,0,0,0,0,0
2016-04-01,1.6936207840000002,April,Friday,weekday,HDAY,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4,2,6,5,3,5,5,3,0,3,0,1,5,0,1,2,3,0,1,0,1,0,0,0,0,0,0
2016-04-02,2.340670617,April,Saturday,weekend,HDAY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,2,5,5,3,4,5,3,0,3,0,1,4,0,1,2,2,0,1,0,1,0,0,0,0,0,0
2016-04-03,2.903751379,April,Sunday,weekend,HDAY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,2,5,5,3,4,5,3,0,3,0,1,4,0,1,2,2,0,1,0,1,0,0,0,0,0,0
2016-04-04,0.75778089,April,Monday,weekday,HDAY,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4,2,5,5,3,4,5,3,0,3,0,1,4,0,1,2,2,0,1,0,1,0,0,0,0,0,0
2016-04-05,0.468788588,April,Tuesday,weekday,NDAY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,2,5,5,3,4,5,3,0,3,0,1,4,0,1,2,2,0,1,0,1,0,0,0,0,0,0
2016-04-06,0.757024118,April,Wednesday,weekday,NDAY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,2,5,5,3,4,5,3,0,3,0,1,4,0,1,2,2,0,1,0,1,0,0,0,0,0,0
