Day,BOLETOS,day_of_week,Día,Nombre,Tipo
2017-04-18,1.991919424,1,Martes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-19,2.62080673,2,Miércoles,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-20,1.475752001,3,Jueves,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-21,1.780979019,4,Viernes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-22,2.360698979,5,Sábado,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-23,2.7457654419999997,6,Domingo,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
2017-04-24,0.38966677200000005,0,,,
2017-04-25,0.543066411,1,,,
2017-04-26,0.7683006729999999,2,,,
2017-04-27,0.467800218,3,,,
2017-04-28,1.999033733,4,,,
2017-04-29,2.629568322,5,,,
2017-04-30,4.172303467,6,,,
2017-05-01,3.0643925430000003,0,Lunes,Día del trabajo,Descanso obligatorio
2017-05-02,0.6539693879999999,1,,,
2017-05-03,0.75674359,2,,,
2017-05-04,0.45279525600000003,3,,,
2017-05-05,2.504443251,4,Viernes,Batalla de Puebla,Vacaciones escolares
2017-05-06,2.028427148,5,,,
2017-05-07,3.4002590410000004,6,,,
2017-05-08,0.755826983,0,,,
2017-05-09,0.936718321,1,,,
2017-05-10,2.186908902,2,Miércoles,Día de la Madre,No obligatorio
2017-05-11,0.6400637029999999,3,,,
2017-05-12,1.5932995669999999,4,,,
2017-05-13,2.3511088509999998,5,,,
2017-05-14,3.1212743960000005,6,,,
2017-05-15,1.477115495,0,Lunes,Día del Maestro,No obligatorio
2017-05-16,0.821936887,1,,,
2017-05-17,0.9953583640000001,2,,,
2017-05-18,0.436567064,3,,,
2017-05-19,1.157747932,4,,,
2017-05-20,1.852516805,5,,,
2017-05-21,2.129162633,6,,,
2017-05-22,0.432532034,0,,,
2017-05-23,0.649027536,1,,,
2017-05-24,0.7228976159999999,2,,,
2017-05-25,0.518158174,3,,,
2017-05-26,1.626682345,4,,,
2017-05-27,2.265929598,5,,,
2017-05-28,2.393285842,6,,,
2017-05-29,0.620632277,0,,,
2017-05-30,0.774681044,1,,,
2017-05-31,1.024402751,2,,,
2017-06-01,0.539719652,3,,,
2017-06-02,1.995253135,4,,,
2017-06-03,2.800040998,5,,,
2017-06-04,3.414895402,6,,,
2017-06-05,0.8052781179999999,0,,,
2017-06-06,0.982176831,1,,,
2017-06-07,1.147140076,2,,,
2017-06-08,0.500879635,3,,,
2017-06-09,1.5043495009999999,4,,,
2017-06-10,2.58120994,5,,,
2017-06-11,2.8596400539999998,6,,,
2017-06-12,0.634978325,0,,,
2017-06-13,0.832515385,1,,,
2017-06-14,1.1001386640000002,2,,,
2017-06-15,0.534549464,3,,,
2017-06-16,2.011908643,4,,,
2017-06-17,3.001404323,5,,,
2017-06-18,3.3641036069999997,6,,,
2017-06-19,0.985298516,0,,,
2017-06-20,1.122469962,1,,,
2017-06-21,1.310684374,2,,,
2017-06-22,0.664110785,3,,,
2017-06-23,1.328161892,4,,,
2017-06-24,2.305956964,5,,,
2017-06-25,2.979872203,6,,,
2017-06-26,0.571996629,0,,,
2017-06-27,0.791339813,1,,,
2017-06-28,0.9963467340000001,2,,,
2017-06-29,1.53487155,3,,,
2017-06-30,2.779109076,4,,,
2017-07-01,3.758955914,5,,,
2017-07-02,4.457971843999999,6,,,
2017-07-03,1.123755169,0,,,
2017-07-04,1.353526801,1,,,
2017-07-05,2.041859851,2,,,
2017-07-06,1.739539229,3,,,
2017-07-07,2.254202894,4,,,
2017-07-08,3.323244443,5,,,
2017-07-09,3.880815775,6,,,
2017-07-10,1.09018646,0,,,
2017-07-11,1.261477885,1,,,
2017-07-12,1.6154286230000001,2,,,
2017-07-13,0.7319690940000001,3,,,
2017-07-14,1.410946876,4,,,
2017-07-15,2.297694449,5,,,
2017-07-16,3.128891045,6,,,
2017-07-17,0.887648834,0,,,
2017-07-18,1.123125613,1,Martes,Vacaciones de Verano,Vacaciones escolares
2017-07-19,1.486372904,2,Miércoles,Vacaciones de Verano,Vacaciones escolares
2017-07-20,1.223055397,3,Jueves,Vacaciones de Verano,Vacaciones escolares
2017-07-21,1.523324254,4,Viernes,Vacaciones de Verano,Vacaciones escolares
2017-07-22,2.179452089,5,Sábado,Vacaciones de Verano,Vacaciones escolares
2017-07-23,2.8133693180000003,6,Domingo,Vacaciones de Verano,Vacaciones escolares
