studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date
20th Century Fox,Miss Peregrine's Home for Peculiar Children,296485719,87242834,209242885,147,110000000,PG-13,3835,113,2016-09-30
Universal,The Girl on the Train (2016),173185859,75395035,97790824,112,45000000,R,3241,84,2016-10-07
WB,The Accountant,155160045,86260045,68900000,148,44000000,R,3402,91,2016-10-14
Paramount,Jack Reacher: Never Go Back,162146076,58697076,103449000,118,60000000,PG-13,3780,84,2016-10-21
Universal,Ouija: Origin of Evil,81705746,35144505,46561241,99,9000000,PG-13,3168,70,2016-10-21
20th Century Fox,Keeping Up with the Joneses,29918745,14904426,15014319,101,40000000,PG-13,3022,70,2016-10-21
Sony,Inferno (2016),220021259,34343574,185677685,121,75000000,PG-13,3576,84,2016-10-28
Buena Vista,Doctor Strange,677718395,232641920,445076475,135,165000000,PG-13,3882,133,2016-11-04
20th Century Fox,Trolls,346864462,153707064,193157398,94,125000000,PG,4066,147,2016-11-04
Paramount,Arrival,203388186,100546139,102842047,116,47000000,PG-13,3115,119,2016-11-11
Universal,Almost Christmas,42580920,42158780,422140,112,17000000,PG-13,2379,63,2016-11-11
WB,Fantastic Beasts and Where to Find Them,814037575,234037575,580000000,160,180000000,PG-13,4144,133,2016-11-18
Buena Vista,Moana,643331111,248757044,394574067,103,150000000,PG,3875,156,2016-11-23
Paramount,Allied,119520023,40098064,79421959,121,85000000,R,3160,65,2016-11-23
20th Century Fox,Rules Don't Apply,3885342,3652206,233136,146,25000000,PG-13,2386,30,2016-11-23
Paramount,Office Christmas Party,114501299,54767494,59733805,105,45000000,R,3210,49,2016-12-09
Paramount,13 Hours: The Secret Soldiers of Benghazi,69411370,52853219,16558151,144,50000000,R,2917,70,2016-12-15
Buena Vista,Rogue One: A Star Wars Story,1056057273,532177324,523879949,153,200000000,PG-13,4157,140,2016-12-16
WB,Collateral Beauty,88528280,31016021,57512259,94,36000000,PG-13,3028,56,2016-12-16
Paramount,Fences,64414761,57682904,6731857,138,24000000,PG-13,2368,105,2016-12-16
Universal,Sing,634151679,270395425,363756254,130,75000000,PG,4029,142,2016-12-21
Sony,Passengers,303144152,100014699,203129453,116,110000000,PG-13,3478,121,2016-12-21
20th Century Fox,Assassin's Creed,240942515,54647948,186294567,160,125000000,PG-13,2996,79,2016-12-21
20th Century Fox,Why Him?,118102725,60323786,57778939,111,38000000,R,3008,91,2016-12-23
Sony,Underworld: Blood Wars,81093313,30353973,50739340,91,35000000,R,3070,62,2017-01-06
Paramount,Monster Trucks,64493915,33370166,31123749,104,125000000,PG,3119,63,2017-01-13
Paramount,xXx: The Return of Xander Cage,346147658,44898413,301249245,107,85000000,PG-13,3651,56,2017-01-20
Universal,Split,278454358,138291365,140162993,117,9000000,PG-13,3373,112,2017-01-20
Sony,Resident Evil: Final Chapter,312242626,26830068,285412558,106,40000000,R,3104,63,2017-01-27
Universal,A Dog's Purpose,196386854,64508620,131878234,140,22000000,PG,3178,112,2017-01-27
